episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,49,200,-50.5,-0.2525,16,0.0199501246882793,0.7673267326732673,0.9795918367346939,0.02040816326530612,7.9375
1,43,200,-17.5,-0.0875,18,0.023376623376623377,0.695,0.9767441860465116,0.023255813953488372,8.38888888888889
2,50,200,-21.0,-0.105,18,0.020361990950226245,0.7114427860696517,0.94,0.06,8.222222222222221
3,43,199,-6.0,-0.03015075376884422,20,0.025806451612903226,0.6994818652849741,1.0,0.0,7.9
4,37,200,-16.5,-0.0825,16,0.02384500745156483,0.6567164179104478,0.972972972972973,0.02702702702702703,9.3125
5,39,200,21.0,0.105,22,0.026570048309178744,0.6336633663366337,0.9487179487179487,0.05128205128205128,8.363636363636363
6,38,196,-2.5,-0.012755102040816327,18,0.02459016393442623,0.6515151515151515,0.9473684210526315,0.05263157894736842,8.833333333333334
7,40,200,-31.0,-0.155,16,0.022889842632331903,0.7014925373134329,1.0,0.0,8.75
8,49,200,-45.0,-0.225,16,0.019559902200488997,0.76,0.9387755102040817,0.061224489795918366,8.0
9,42,200,-1.0,-0.005,22,0.028534370946822308,0.7014925373134329,1.0,0.0,7.7272727272727275
10,40,200,-50.5,-0.2525,17,0.02390998593530239,0.785,1.0,0.0,7.529411764705882
11,40,199,25.0,0.12562814070351758,21,0.02759526938239159,0.6161616161616161,0.9,0.1,8.619047619047619
12,44,200,34.5,0.1725,24,0.02916160388821385,0.6368159203980099,0.8636363636363636,0.13636363636363635,8.041666666666666
13,37,200,-25.0,-0.125,17,0.024566473988439308,0.7,1.0,0.0,8.529411764705882
14,51,196,-62.0,-0.3163265306122449,14,0.016908212560386472,0.7868020304568528,0.9607843137254902,0.0392156862745098,8.0
15,43,200,-27.0,-0.135,18,0.02258469259723965,0.73,0.9534883720930233,0.046511627906976744,8.0
16,46,200,-24.0,-0.12,20,0.023809523809523808,0.75,0.9782608695652174,0.021739130434782608,7.5
17,46,200,-43.5,-0.2175,15,0.01905972045743329,0.7277227722772277,0.9782608695652174,0.021739130434782608,8.666666666666666
