episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,49,196,-61.5,-0.3137755102040816,13,0.016581632653061226,0.7704081632653061,0.9591836734693877,0.04081632653061224,8.461538461538462
1,43,194,-12.5,-0.06443298969072164,18,0.023017902813299233,0.6903553299492385,0.9302325581395349,0.06976744186046512,8.38888888888889
2,41,200,-8.5,-0.0425,20,0.02531645569620253,0.695,1.0,0.0,8.05
3,52,199,-43.0,-0.21608040201005024,17,0.01990632318501171,0.7755102040816326,0.9615384615384616,0.038461538461538464,7.588235294117647
4,46,196,7.0,0.03571428571428571,21,0.024361948955916472,0.6666666666666666,0.9782608695652174,0.021739130434782608,8.142857142857142
5,45,200,-1.0,-0.005,18,0.02107728337236534,0.6435643564356436,0.9333333333333333,0.06666666666666667,9.0
6,39,200,-12.0,-0.06,17,0.023578363384188627,0.6650246305418719,0.8974358974358975,0.10256410256410256,9.0
7,43,198,-14.5,-0.07323232323232323,18,0.023316062176165803,0.6974358974358974,0.9534883720930233,0.046511627906976744,8.277777777777779
8,43,200,-26.5,-0.1325,19,0.02435897435897436,0.7376237623762376,0.9767441860465116,0.023255813953488372,7.7894736842105265
9,46,200,-21.0,-0.105,17,0.022397891963109356,0.7014925373134329,0.8913043478260869,0.10869565217391304,8.529411764705882
10,48,200,-44.0,-0.22,16,0.019925280199252802,0.75,0.9791666666666666,0.020833333333333332,8.125
11,50,200,-53.0,-0.265,15,0.018726591760299626,0.77,0.94,0.06,8.066666666666666
12,47,198,-36.5,-0.18434343434343434,17,0.021491782553729456,0.7437185929648241,0.9787234042553191,0.02127659574468085,8.0
13,47,200,-2.5,-0.0125,21,0.02497027348394768,0.705,0.9148936170212766,0.0851063829787234,7.809523809523809
14,45,200,-85.0,-0.425,12,0.016597510373443983,0.812807881773399,0.9777777777777777,0.022222222222222223,8.166666666666666
15,48,200,-53.0,-0.265,15,0.018427518427518427,0.77,0.9375,0.0625,8.066666666666666
16,45,200,-35.5,-0.1775,19,0.023543990086741014,0.7696078431372549,0.9333333333333333,0.06666666666666667,7.473684210526316
17,47,198,-57.5,-0.2904040404040404,15,0.018656716417910446,0.7828282828282829,0.9787234042553191,0.02127659574468085,7.866666666666666
18,48,200,8.0,0.04,22,0.02534562211981567,0.6831683168316832,0.9166666666666666,0.08333333333333333,7.909090909090909
19,42,200,2.5,0.0125,19,0.02483660130718954,0.6502463054187192,0.9047619047619048,0.09523809523809523,8.736842105263158
20,48,197,-45.0,-0.22842639593908629,15,0.018564356435643563,0.7487437185929648,0.9166666666666666,0.08333333333333333,8.333333333333334
21,44,194,-20.5,-0.1056701030927835,19,0.02286401925391095,0.7323232323232324,0.9318181818181818,0.06818181818181818,7.7894736842105265
22,44,197,-45.0,-0.22842639593908629,17,0.022020725388601035,0.7688442211055276,1.0,0.0,7.705882352941177
23,48,200,-33.5,-0.1675,18,0.021634615384615384,0.75,0.9166666666666666,0.08333333333333333,7.833333333333333
24,50,197,-44.0,-0.2233502538071066,18,0.019889502762430938,0.7878787878787878,0.98,0.02,7.333333333333333
25,45,200,-23.0,-0.115,18,0.02349869451697128,0.7128712871287128,0.9555555555555556,0.044444444444444446,8.222222222222221
26,43,200,-4.0,-0.02,20,0.02531645569620253,0.6847290640394089,0.9302325581395349,0.06976744186046512,8.2
27,45,197,-40.0,-0.20304568527918782,17,0.021383647798742137,0.766497461928934,0.9333333333333333,0.06666666666666667,7.705882352941177
28,50,200,-89.5,-0.4475,12,0.01606425702811245,0.8374384236453202,0.92,0.08,7.75
29,47,200,-35.0,-0.175,17,0.0208078335373317,0.7326732673267327,0.9787234042553191,0.02127659574468085,8.176470588235293
30,44,200,-11.5,-0.0575,19,0.024934383202099737,0.705,0.8863636363636364,0.11363636363636363,8.105263157894736
31,47,200,-25.5,-0.1275,19,0.02303030303030303,0.7376237623762376,0.9574468085106383,0.0425531914893617,7.7894736842105265
32,44,200,-40.0,-0.2,15,0.019157088122605363,0.7213930348258707,0.9545454545454546,0.045454545454545456,8.733333333333333
33,38,197,35.0,0.17766497461928935,21,0.026923076923076925,0.5816326530612245,0.9210526315789473,0.07894736842105263,8.904761904761905
34,50,196,-73.0,-0.37244897959183676,13,0.0161892901618929,0.7989949748743719,0.98,0.02,8.076923076923077
35,46,198,-3.5,-0.017676767676767676,20,0.023668639053254437,0.6919191919191919,0.9347826086956522,0.06521739130434782,8.05
36,37,200,-10.5,-0.0525,18,0.025245441795231416,0.6634146341463415,0.972972972972973,0.02702702702702703,8.833333333333334
37,46,200,-48.0,-0.24,14,0.01928374655647383,0.74,0.9130434782608695,0.08695652173913043,8.714285714285714
38,45,195,-28.0,-0.14358974358974358,16,0.020752269779507133,0.7055837563451777,0.9555555555555556,0.044444444444444446,8.625
39,45,198,-63.0,-0.3181818181818182,15,0.020435967302452316,0.8061224489795918,0.9777777777777777,0.022222222222222223,7.533333333333333
40,38,193,-30.5,-0.15803108808290156,16,0.022222222222222223,0.7164948453608248,0.9736842105263158,0.02631578947368421,8.4375
41,41,198,17.5,0.08838383838383838,22,0.02702702702702703,0.6532663316582915,0.926829268292683,0.07317073170731707,8.136363636363637
42,45,200,-21.5,-0.1075,19,0.02360248447204969,0.7205882352941176,0.9555555555555556,0.044444444444444446,8.0
43,50,200,-25.0,-0.125,19,0.02021276595744681,0.7326732673267327,0.98,0.02,7.842105263157895
44,46,200,-69.0,-0.345,14,0.018867924528301886,0.801980198019802,0.9347826086956522,0.06521739130434782,7.857142857142857
45,39,200,-22.0,-0.11,19,0.025745257452574527,0.7156862745098039,1.0,0.0,8.052631578947368
46,46,198,-36.5,-0.18434343434343434,17,0.0208078335373317,0.7602040816326531,0.9130434782608695,0.08695652173913043,7.764705882352941
47,45,195,-35.0,-0.1794871794871795,18,0.02197802197802198,0.764102564102564,0.9777777777777777,0.022222222222222223,7.555555555555555
48,46,200,-6.0,-0.03,20,0.022598870056497175,0.6847290640394089,0.9782608695652174,0.021739130434782608,8.2
49,45,200,-30.5,-0.1525,17,0.021491782553729456,0.725,0.9555555555555556,0.044444444444444446,8.235294117647058
