episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,46,200,-77.0,-0.385,14,0.01876675603217158,0.8208955223880597,1.0,0.0,7.571428571428571
1,44,200,7.0,0.035,20,0.024721878862793572,0.65,0.9545454545454546,0.045454545454545456,8.5
2,48,200,-54.5,-0.2725,15,0.01845018450184502,0.765,1.0,0.0,8.133333333333333
3,43,196,-30.5,-0.1556122448979592,16,0.02185792349726776,0.7106598984771574,0.9767441860465116,0.023255813953488372,8.5625
4,41,198,-50.5,-0.255050505050505,14,0.0196078431372549,0.7487179487179487,0.975609756097561,0.024390243902439025,8.5
5,43,200,-19.5,-0.0975,18,0.021739130434782608,0.6995073891625616,0.9534883720930233,0.046511627906976744,8.38888888888889
6,41,200,-27.5,-0.1375,17,0.022788203753351208,0.7024390243902439,0.975609756097561,0.024390243902439025,8.588235294117647
7,46,199,-47.0,-0.23618090452261306,15,0.019404915912031046,0.7487437185929648,0.9565217391304348,0.043478260869565216,8.333333333333334
8,40,199,-35.0,-0.17587939698492464,15,0.021739130434782608,0.7055837563451777,1.0,0.0,8.866666666666667
9,52,200,-34.0,-0.17,17,0.02031063321385902,0.7326732673267327,0.9615384615384616,0.038461538461538464,8.176470588235293
10,44,200,-61.0,-0.305,14,0.019471488178025034,0.7711442786069652,0.9772727272727273,0.022727272727272728,8.285714285714286
11,47,197,-59.5,-0.3020304568527919,14,0.018396846254927726,0.7738693467336684,0.9574468085106383,0.0425531914893617,8.214285714285714
12,52,200,-43.5,-0.2175,17,0.02045728038507822,0.765,0.9807692307692307,0.019230769230769232,7.764705882352941
13,45,200,-42.0,-0.21,19,0.02386934673366834,0.7843137254901961,0.9777777777777777,0.022222222222222223,7.315789473684211
14,42,200,-15.5,-0.0775,18,0.02356020942408377,0.695,0.9285714285714286,0.07142857142857142,8.38888888888889
15,45,200,-19.0,-0.095,18,0.022113022113022112,0.71,0.9111111111111111,0.08888888888888889,8.222222222222221
16,42,200,-19.0,-0.095,18,0.023746701846965697,0.696078431372549,0.9523809523809523,0.047619047619047616,8.444444444444445
17,45,200,-24.5,-0.1225,19,0.023114355231143552,0.729064039408867,0.9777777777777777,0.022222222222222223,7.894736842105263
