episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,17,200,-114.0,-0.57,6,0.008968609865470852,0.7904761904761904,1.0,0.0,12.333333333333334
1,15,200,-25.5,-0.1275,10,0.013477088948787063,0.5853658536585366,0.8666666666666667,0.13333333333333333,13.5
2,14,200,-66.5,-0.3325,7,0.01129032258064516,0.6586538461538461,1.0,0.0,15.142857142857142
3,15,198,-48.0,-0.24242424242424243,7,0.011075949367088608,0.625,0.9333333333333333,0.06666666666666667,15.285714285714286
4,18,200,-91.0,-0.455,6,0.008415147265077139,0.7268292682926829,1.0,0.0,14.333333333333334
5,17,193,-54.5,-0.2823834196891192,8,0.009732360097323601,0.6515151515151515,1.0,0.0,13.625
6,21,200,-116.5,-0.5825,5,0.0063371356147021544,0.7990196078431373,0.9523809523809523,0.047619047619047616,13.2
7,17,186,-151.0,-0.8118279569892473,3,0.004966887417218543,0.9067357512953368,1.0,0.0,11.0
8,21,200,-157.0,-0.785,3,0.004405286343612335,0.900990099009901,1.0,0.0,11.666666666666666
9,18,200,-41.0,-0.205,9,0.011889035667107,0.6116504854368932,1.0,0.0,13.88888888888889
10,21,195,-148.0,-0.7589743589743589,3,0.004172461752433936,0.8793969849246231,1.0,0.0,13.0
11,16,188,-65.0,-0.34574468085106386,8,0.011049723756906077,0.6868686868686869,1.0,0.0,12.75
12,21,196,-105.0,-0.5357142857142857,5,0.00655307994757536,0.7905759162303665,0.9523809523809523,0.047619047619047616,13.0
13,16,200,-91.0,-0.455,6,0.009375,0.7268292682926829,1.0,0.0,14.333333333333334
14,18,200,-155.5,-0.7775,4,0.006289308176100629,0.8904761904761904,1.0,0.0,10.75
15,16,200,-73.0,-0.365,7,0.009929078014184398,0.6811594202898551,1.0,0.0,14.428571428571429
16,21,195,-142.0,-0.7282051282051282,4,0.005263157894736842,0.8787878787878788,1.0,0.0,11.0
17,19,200,-22.0,-0.11,10,0.011494252873563218,0.5707317073170731,0.9473684210526315,0.05263157894736842,13.8
18,13,200,-39.0,-0.195,7,0.0125,0.5784313725490197,0.9230769230769231,0.07692307692307693,17.285714285714285
19,15,200,-91.5,-0.4575,6,0.009523809523809525,0.719047619047619,1.0,0.0,14.833333333333334
20,18,200,-111.0,-0.555,5,0.0074850299401197605,0.7692307692307693,1.0,0.0,14.6
21,15,200,-72.5,-0.3625,6,0.00964630225080386,0.6699507389162561,1.0,0.0,16.166666666666668
22,17,200,-110.5,-0.5525,5,0.007874015748031496,0.7804878048780488,0.8823529411764706,0.11764705882352941,14.0
23,14,194,-78.0,-0.4020618556701031,6,0.00967741935483871,0.7025641025641025,1.0,0.0,14.666666666666666
24,16,200,-97.5,-0.4875,5,0.0078125,0.7259615384615384,1.0,0.0,16.4
25,15,197,-22.0,-0.1116751269035533,9,0.01267605633802817,0.5647668393782384,1.0,0.0,14.333333333333334
26,21,200,-151.5,-0.7575,4,0.005457025920873124,0.8883495145631068,1.0,0.0,10.75
27,14,200,-116.0,-0.58,4,0.0076045627376425855,0.7821782178217822,1.0,0.0,16.0
28,15,190,-44.0,-0.23157894736842105,9,0.013100436681222707,0.6410256410256411,0.9333333333333333,0.06666666666666667,12.777777777777779
29,23,200,-84.5,-0.4225,7,0.007909604519774011,0.736318407960199,0.9130434782608695,0.08695652173913043,12.571428571428571
30,13,189,-94.5,-0.5,4,0.007952286282306162,0.7527472527472527,1.0,0.0,16.25
31,18,191,-98.0,-0.5130890052356021,5,0.00741839762611276,0.7487437185929648,0.9444444444444444,0.05555555555555555,15.0
32,20,200,-151.0,-0.755,5,0.0064516129032258064,0.9029126213592233,1.0,0.0,9.0
33,20,200,-90.5,-0.4525,8,0.009557945041816009,0.7609756097560976,0.95,0.05,11.125
34,17,193,-32.0,-0.16580310880829016,9,0.011292346298619825,0.6,0.9411764705882353,0.058823529411764705,13.666666666666666
35,18,200,-82.5,-0.4125,7,0.009735744089012517,0.725,1.0,0.0,12.857142857142858
36,14,200,-92.0,-0.46,5,0.008880994671403197,0.7101449275362319,1.0,0.0,17.0
37,14,200,-76.0,-0.38,6,0.01073345259391771,0.6682464454976303,1.0,0.0,16.666666666666668
38,14,200,-122.0,-0.61,6,0.010714285714285714,0.84,1.0,0.0,10.333333333333334
39,15,191,-72.0,-0.3769633507853403,6,0.010067114093959731,0.6989247311827957,1.0,0.0,14.333333333333334
