episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,27,189,-95.5,-0.5052910052910053,8,0.007820136852394917,0.7929292929292929,0.9629629629629629,0.037037037037037035,10.125
1,29,200,-50.5,-0.2525,14,0.0109375,0.735,1.0,0.0,8.785714285714286
2,25,200,-84.0,-0.42,9,0.008928571428571428,0.7560975609756098,0.96,0.04,10.555555555555555
3,28,197,-56.0,-0.28426395939086296,11,0.00950734658599827,0.7085427135678392,0.9642857142857143,0.03571428571428571,10.272727272727273
4,26,200,-67.0,-0.335,11,0.010091743119266056,0.74,1.0,0.0,9.727272727272727
5,25,200,-5.5,-0.0275,14,0.0118946474086661,0.5891089108910891,0.92,0.08,10.928571428571429
6,26,200,-96.0,-0.48,7,0.0070921985815602835,0.77,1.0,0.0,11.571428571428571
7,27,200,-69.0,-0.345,10,0.009216589861751152,0.7313432835820896,0.9629629629629629,0.037037037037037035,10.4
8,32,200,-25.5,-0.1275,15,0.010822510822510822,0.6683168316831684,0.96875,0.03125,9.466666666666667
9,30,200,-129.0,-0.645,6,0.005917159763313609,0.8613861386138614,0.9666666666666667,0.03333333333333333,9.666666666666666
10,22,200,-93.5,-0.4675,7,0.008284023668639054,0.7574257425742574,1.0,0.0,12.0
11,30,200,-46.5,-0.2325,12,0.010025062656641603,0.6865671641791045,1.0,0.0,10.25
12,22,200,-70.5,-0.3525,9,0.010332950631458095,0.7164179104477612,1.0,0.0,11.333333333333334
13,21,193,-65.0,-0.33678756476683935,8,0.00922722029988466,0.6923076923076923,1.0,0.0,12.5
14,25,200,-69.0,-0.345,11,0.0107421875,0.7365853658536585,1.0,0.0,9.909090909090908
15,27,200,-18.5,-0.0925,15,0.011933174224343675,0.645,1.0,0.0,9.733333333333333
16,25,200,-90.5,-0.4525,9,0.009,0.7794117647058824,0.96,0.04,10.0
17,28,200,-36.5,-0.1825,13,0.01053484602917342,0.6650485436893204,0.9642857142857143,0.03571428571428571,10.307692307692308
18,29,197,-67.5,-0.3426395939086294,9,0.008159564823209429,0.7121212121212122,1.0,0.0,11.333333333333334
19,31,194,-85.0,-0.4381443298969072,10,0.008143322475570033,0.7948717948717948,1.0,0.0,9.0
20,25,200,-51.0,-0.255,11,0.01053639846743295,0.6831683168316832,1.0,0.0,10.818181818181818
21,24,200,-77.5,-0.3875,9,0.009109311740890687,0.7376237623762376,1.0,0.0,10.88888888888889
22,29,192,-50.0,-0.2604166666666667,11,0.009329940627650551,0.6923076923076923,1.0,0.0,10.454545454545455
23,30,200,-55.5,-0.2775,11,0.009083402146985962,0.705,0.9666666666666667,0.03333333333333333,10.363636363636363
24,29,200,-92.0,-0.46,9,0.007725321888412017,0.7766990291262136,1.0,0.0,10.11111111111111
25,26,200,-62.0,-0.31,10,0.010040160642570281,0.6923076923076923,1.0,0.0,11.4
26,26,200,-46.0,-0.23,13,0.01138353765323993,0.7014925373134329,1.0,0.0,9.615384615384615
27,25,191,-93.5,-0.4895287958115183,8,0.008032128514056224,0.7828282828282829,1.0,0.0,10.375
28,30,200,-95.0,-0.475,10,0.008873114463176575,0.7990430622009569,0.9666666666666667,0.03333333333333333,9.2
29,25,200,-20.5,-0.1025,13,0.01161751563896336,0.6188118811881188,0.96,0.04,10.923076923076923
30,30,194,-91.5,-0.47164948453608246,8,0.007292616226071103,0.788659793814433,0.9666666666666667,0.03333333333333333,10.125
31,21,200,-84.5,-0.4225,7,0.008706467661691543,0.7277227722772277,1.0,0.0,12.857142857142858
32,25,200,-90.5,-0.4525,11,0.010064043915827997,0.8019323671497585,1.0,0.0,8.727272727272727
33,24,193,-46.0,-0.23834196891191708,12,0.010899182561307902,0.6938775510204082,1.0,0.0,10.0
34,24,200,-35.5,-0.1775,12,0.011100832562442183,0.6485148514851485,1.0,0.0,10.916666666666666
35,26,200,-39.5,-0.1975,12,0.010628875110717449,0.6666666666666666,0.9615384615384616,0.038461538461538464,10.583333333333334
36,26,200,-64.0,-0.32,11,0.009972801450589302,0.7241379310344828,1.0,0.0,10.090909090909092
37,23,200,-100.0,-0.5,7,0.008215962441314555,0.7810945273631841,1.0,0.0,11.285714285714286
38,25,200,-26.0,-0.13,13,0.011861313868613138,0.64,0.96,0.04,10.538461538461538
39,21,200,-90.0,-0.45,8,0.00984009840098401,0.7560975609756098,1.0,0.0,11.25
40,24,193,-80.0,-0.41450777202072536,9,0.008637236084452975,0.7628865979381443,1.0,0.0,10.11111111111111
41,28,194,-59.0,-0.30412371134020616,10,0.008673026886383347,0.6984924623115578,1.0,0.0,11.0
42,32,200,-111.0,-0.555,7,0.005988023952095809,0.82,1.0,0.0,10.142857142857142
43,27,200,-54.5,-0.2725,13,0.010543390105433901,0.7219512195121951,1.0,0.0,9.384615384615385
44,31,200,-99.5,-0.4975,6,0.00554016620498615,0.7673267326732673,0.9354838709677419,0.06451612903225806,12.833333333333334
45,28,196,-53.0,-0.27040816326530615,11,0.00933786078098472,0.6984924623115578,0.9642857142857143,0.03571428571428571,10.454545454545455
46,25,200,-46.5,-0.2325,12,0.010899182561307902,0.6865671641791045,1.0,0.0,10.25
47,29,200,-40.0,-0.2,13,0.010526315789473684,0.6666666666666666,1.0,0.0,10.384615384615385
48,25,200,-39.5,-0.1975,11,0.009657594381035996,0.6467661691542289,1.0,0.0,11.454545454545455
49,23,198,-44.0,-0.2222222222222222,11,0.01098901098901099,0.673469387755102,0.9565217391304348,0.043478260869565216,10.818181818181818
50,28,200,-72.5,-0.3625,8,0.0071492403932082215,0.7009803921568627,1.0,0.0,12.625
51,29,200,-92.5,-0.4625,8,0.007744433688286544,0.7684729064039408,1.0,0.0,10.875
52,30,200,-71.5,-0.3575,10,0.008319467554076539,0.7389162561576355,0.9333333333333333,0.06666666666666667,10.3
53,26,198,-59.0,-0.29797979797979796,10,0.009606147934678195,0.6984924623115578,1.0,0.0,11.0
54,27,200,-120.0,-0.6,8,0.008088978766430738,0.8613861386138614,1.0,0.0,8.5
55,30,200,-44.5,-0.2225,13,0.009976976208749041,0.6995073891625616,0.9333333333333333,0.06666666666666667,9.692307692307692
56,28,200,-67.0,-0.335,11,0.009954751131221719,0.7339901477832512,1.0,0.0,9.909090909090908
57,25,200,-42.0,-0.21,14,0.012205754141238012,0.7029702970297029,1.0,0.0,9.285714285714286
58,28,200,-38.0,-0.19,13,0.011120615911035072,0.6682926829268293,1.0,0.0,10.23076923076923
59,32,187,-81.5,-0.4358288770053476,9,0.007194244604316547,0.7626262626262627,0.96875,0.03125,10.222222222222221
60,30,200,-100.0,-0.5,9,0.0076077768385460695,0.812807881773399,0.9666666666666667,0.03333333333333333,9.222222222222221
61,27,194,-33.5,-0.17268041237113402,12,0.010498687664041995,0.6564102564102564,0.9629629629629629,0.037037037037037035,10.583333333333334
62,30,200,-87.0,-0.435,9,0.007964601769911504,0.7647058823529411,1.0,0.0,10.333333333333334
63,28,196,-1.0,-0.00510204081632653,15,0.0117096018735363,0.5959595959595959,0.9285714285714286,0.07142857142857142,10.333333333333334
64,20,200,-76.0,-0.38,8,0.010113780025284451,0.7213930348258707,0.95,0.05,12.0
65,27,192,-79.0,-0.4114583333333333,9,0.00841908325537886,0.7616580310880829,1.0,0.0,10.11111111111111
66,31,200,-44.5,-0.2225,14,0.01064638783269962,0.7164179104477612,0.967741935483871,0.03225806451612903,9.071428571428571
67,26,194,-54.0,-0.27835051546391754,9,0.008411214953271028,0.6666666666666666,1.0,0.0,12.333333333333334
68,25,200,-54.5,-0.2725,10,0.009871668311944718,0.685,0.96,0.04,11.3
69,30,200,-56.5,-0.2825,13,0.010475423045930701,0.7330097087378641,0.9333333333333333,0.06666666666666667,9.23076923076923
70,26,192,-103.5,-0.5390625,8,0.0076481835564053535,0.8140703517587939,1.0,0.0,9.625
71,25,193,-31.5,-0.16321243523316062,11,0.010194624652455977,0.6294416243654822,0.96,0.04,11.636363636363637
72,25,192,-54.0,-0.28125,10,0.00931098696461825,0.6852791878172588,1.0,0.0,11.2
73,26,200,-97.0,-0.485,8,0.008032128514056224,0.7843137254901961,0.9615384615384616,0.038461538461538464,10.5
74,23,200,-77.5,-0.3875,8,0.009324009324009324,0.725,1.0,0.0,11.875
75,24,200,-1.5,-0.0075,14,0.012974976830398516,0.5658536585365853,1.0,0.0,11.357142857142858
76,30,200,-119.0,-0.595,7,0.006433823529411764,0.8341463414634146,1.0,0.0,9.857142857142858
77,25,193,-59.5,-0.3082901554404145,11,0.010175763182238668,0.7208121827411168,1.0,0.0,10.0
78,30,200,-60.0,-0.3,12,0.010265183917878529,0.7339901477832512,0.9333333333333333,0.06666666666666667,9.5
79,24,200,-56.0,-0.28,11,0.01089108910891089,0.7014925373134329,1.0,0.0,10.454545454545455
80,29,196,-49.5,-0.25255102040816324,13,0.010292953285827395,0.7208121827411168,1.0,0.0,9.23076923076923
81,24,200,-47.0,-0.235,11,0.01120162932790224,0.6666666666666666,1.0,0.0,11.181818181818182
82,26,200,-78.5,-0.3925,11,0.009990917347865577,0.7696078431372549,1.0,0.0,9.272727272727273
83,28,200,-53.5,-0.2675,11,0.00980392156862745,0.6896551724137931,1.0,0.0,10.727272727272727
84,33,198,-74.0,-0.37373737373737376,10,0.008077544426494346,0.7487437185929648,1.0,0.0,10.0
85,27,200,-58.0,-0.29,11,0.01027077497665733,0.71,1.0,0.0,10.272727272727273
86,25,191,-56.0,-0.2931937172774869,12,0.010830324909747292,0.7319587628865979,1.0,0.0,9.333333333333334
87,29,200,-85.5,-0.4275,9,0.007805724197745013,0.7661691542288557,1.0,0.0,10.222222222222221
88,30,200,-77.0,-0.385,11,0.009683098591549295,0.7711442786069652,1.0,0.0,9.181818181818182
89,29,200,-84.5,-0.4225,9,0.008204193254329991,0.7598039215686274,0.9655172413793104,0.034482758620689655,10.444444444444445
90,28,190,-93.0,-0.48947368421052634,8,0.007380073800738007,0.7868020304568528,0.9642857142857143,0.03571428571428571,10.25
91,28,200,-62.5,-0.3125,11,0.009954751131221719,0.725,1.0,0.0,10.0
92,30,197,-68.0,-0.34517766497461927,10,0.008271298593879239,0.7286432160804021,1.0,0.0,10.4
93,27,200,-37.0,-0.185,12,0.0106951871657754,0.6551724137931034,0.9629629629629629,0.037037037037037035,10.833333333333334
94,23,194,-59.5,-0.30670103092783507,10,0.009596928982725527,0.7035175879396985,0.9565217391304348,0.043478260869565216,10.9
95,31,194,-93.5,-0.48195876288659795,8,0.0071111111111111115,0.7828282828282829,1.0,0.0,10.375
96,38,200,-105.0,-0.525,8,0.006092916984006093,0.812807881773399,0.9736842105263158,0.02631578947368421,9.75
97,30,200,-89.5,-0.4475,10,0.008888888888888889,0.7960199004975125,1.0,0.0,9.1
98,30,200,-102.0,-0.51,8,0.007332722273143905,0.801980198019802,1.0,0.0,10.0
99,28,191,-77.0,-0.4031413612565445,10,0.008710801393728223,0.7653061224489796,1.0,0.0,9.6
100,32,193,-66.0,-0.34196891191709844,11,0.008627450980392156,0.7525773195876289,0.96875,0.03125,9.363636363636363
101,20,200,-12.0,-0.06,14,0.014042126379137413,0.6039603960396039,1.0,0.0,10.714285714285714
102,26,200,-69.5,-0.3475,9,0.008434864104967198,0.7093596059113301,1.0,0.0,11.555555555555555
103,27,200,-51.0,-0.255,13,0.011082693947144074,0.7156862745098039,0.9629629629629629,0.037037037037037035,9.461538461538462
104,27,190,-69.5,-0.36578947368421055,10,0.009541984732824428,0.7397959183673469,1.0,0.0,10.1
105,26,200,-91.5,-0.4575,8,0.007866273352999017,0.7673267326732673,1.0,0.0,10.875
106,30,200,-103.0,-0.515,7,0.006439742410303588,0.7843137254901961,1.0,0.0,11.285714285714286
107,36,200,-106.5,-0.5325,10,0.007656967840735069,0.8472906403940886,1.0,0.0,8.1
108,25,200,-86.5,-0.4325,8,0.008412197686645636,0.755,1.0,0.0,11.125
109,28,200,-85.5,-0.4275,10,0.00835421888053467,0.7783251231527094,1.0,0.0,9.5
110,24,200,-78.0,-0.39,9,0.00964630225080386,0.7425742574257426,0.9583333333333334,0.041666666666666664,10.777777777777779
111,25,200,-96.0,-0.48,9,0.008955223880597015,0.7874396135265701,1.0,0.0,9.88888888888889
112,32,200,-64.5,-0.3225,12,0.009009009009009009,0.746268656716418,1.0,0.0,9.25
113,26,200,-54.0,-0.27,11,0.00985663082437276,0.6945812807881774,0.9615384615384616,0.038461538461538464,10.636363636363637
114,30,199,-70.0,-0.35175879396984927,11,0.009290540540540541,0.7575757575757576,0.9666666666666667,0.03333333333333333,9.363636363636363
115,23,200,-47.5,-0.2375,9,0.00946372239747634,0.6386138613861386,1.0,0.0,13.11111111111111
116,26,200,-49.5,-0.2475,11,0.01049618320610687,0.6731707317073171,1.0,0.0,11.090909090909092
